route_id,agency_id,route_short_name,route_long_name,route_type
1288,PMPML,YATRA 39,Pimpri Road to Bhandara Dongar (DOWN),3
1287,PMPML,YATRA 39,Bhandara Dongar to Pimpri Road (UP),3
1286,PMPML,YATRA 39A,Dehugaon to Bhandara Dongar (DOWN),3
1285,PMPML,YATRA 39A,Bhandara Dongar to Dehugaon (UP),3
1308,PMPML,YATRA 25,Swargate to Narayanpur (DOWN),3
1295,PMPML,RATRANI 9,Kesnand Phata Wagholi to Pune Station Moledina Stand (UP),3
1147,PMPML,RATRANI 7,Pune Station Moledina Stand to Nda 10 No. Gate (DOWN),3
1146,PMPML,RATRANI 7,Nda 10 No. Gate to Pune Station Moledina Stand (UP),3
1145,PMPML,RATRANI 6,Pune Station Moledina Stand to Bhakti Shakti Stand (DOWN),3
1144,PMPML,RATRANI 6,Bhakti Shakti Stand to Pune Station Moledina Stand (UP),3
1141,PMPML,RATRANI 3,Swargate to Hadapsar Gadital (DOWN),3
1139,PMPML,RATRANI 2,Katraj to Pune Station Moledina Stand (DOWN),3
1138,PMPML,RATRANI 2,Pune Station Moledina Stand to Katraj (UP),3
1137,PMPML,RATRANI 1,Katraj to Mariaai Gate Navin St Stand (DOWN),3
1134,PMPML,P13,Walhekarwadi to Pimpri Chowk Metro Station (UP),3
1133,PMPML,N16,Akurdi Khandoba Maal to Nageshwar Vidyalaya Chikhli (DOWN),3
1132,PMPML,N16,Nageshwar Vidyalaya Chikhli to Akurdi Khandoba Maal (UP),3
566,PMPML,302,Pimprigaon to Bhosari Gavhane Vasti (DOWN),3
597,PMPML,312,Chinchwadgaon to Pune Station Depot (UP),3
1249,PMPML,328,Wagholi Kesnand Phata to Hinjawadi Maan Phase 3 (DOWN),3
556,PMPML,301C,Swargate to Hadapsar Gadital (DOWN),3
555,PMPML,301C,Hadapsar Gadital to Swargate (UP),3
636,PMPML,324,Bhosari Terminal to Hinjawadi Maan Phase 3 (DOWN),3
57,PMPML,118,Swargate Natraj Stand to Vadgaon Budruk Stand (DOWN),3
370,PMPML,207AC,Ma Na Pa Shramik Bhavan to Saswad (DOWN),3
542,PMPML,29A,Alandi to Marketyard Depot (UP),3
