stop_id,stop_name,stop_lat,stop_lon
6622,Bhandara Dongar,18.738899,73.737
6623,Bhandara Dongar Payatha,18.738924,73.74025
6624,Toll Naka Chakan Road,18.739201,73.747803
6598,Dehu Phata Chakan Road,18.739113,73.754967
6591,Yelwadi,18.733801,73.7575
6592,Digambara Chowk Yelwadi,18.7321,73.758102
6593,Dehu Multi Specialty Hospital,18.7278,73.759804
6594,Vatsalya Vrudhashram Sangurdi,18.725401,73.760696
6595,Corner Hotel Sangurdi,18.7222,73.7621
5130,Dehugaon,18.719999,73.766296
5151,Dehugaon,18.7199,73.765999
6625,Toll Naka Chakan Road,18.739,73.748001
6626,Bhandara Dongar Payatha,18.7388,73.739502
6627,Bhandara Dongar,18.738796,73.736595
1566,Kesnand Phata Wagholi,18.581276,73.98674
2738,Wagholi,18.580448,73.982407
1568,Satav High School,18.580648,73.979141
1420,Panmala Wagholi,18.5793,73.974197
1581,Soyrik Mangal Karyalay,18.576984,73.968643
1580,Talera Godown,18.576099,73.964203
1579,Sai Satyam Society,18.5742,73.959198
1578,Khandve Nagar,18.571899,73.9552
1577,Aaple Ghar,18.567499,73.947647
1576,Janakbaba Darga,18.565399,73.944
1575,Kharadi Bypass,18.562315,73.937561
1635,Chandan Nagar,18.563299,73.933098
1398,Tata Guardroom,18.562901,73.928703
1399,5 Wa Mile,18.56214,73.923363
1383,Viman Nagar Corner,18.561199,73.919502
2892,Ramwadi Metro Station,18.556652,73.908058
1371,Ramwadi Jakat Naka,18.5548,73.905098
1372,Shastri Nagar Nagar Road,18.551752,73.895897
1373,Wadia Bungalow,18.548357,73.89238
1378,Gunjan Corner,18.5457,73.889297
1318,Yerawada,18.545023,73.885551
1319,Bundgarden,18.540222,73.883286
1320,Wadia College,18.5355,73.880203
1376,Jahangir Hospital,18.5313,73.876297
1322,Alankar Talkies,18.528601,73.876297
319,Income Tax Office,18.5254,73.876701
320,Gpo,18.523537,73.875557
2230,Sassoon Hospital,18.525,73.871498
350,Pune Station Moledina Stand,18.5271,73.873001
128,Swargate,18.4988,73.858299
403,Swargate Police Line,18.500601,73.859901
444,Swargate Depot,18.500299,73.861298
443,Ghorpade Peth,18.49995,73.863953
442,St Vibhagiya Karyalaya,18.5005,73.866501
441,Mira Society,18.501801,73.870499
408,Golibar Maidan,18.502115,73.875938
409,Mahatma Gandhi Stand,18.505922,73.882225
440,Racecourse,18.50633,73.890434
439,Bhairoba Nala Police Chowky,18.506721,73.896896
438,Fatima Nagar,18.506453,73.901764
413,Kalubai Mandir Ramtekdi,18.5065,73.906403
437,Ramtekdi,18.506376,73.912193
415,Vaiduwadi,18.504051,73.92099
436,Magarpatta Dawakhana,18.502701,73.926598
435,Hadapsargaon,18.501301,73.933296
466,Tupe Hospital,18.500999,73.935997
419,Hadapsar Gadital,18.5002,73.939102
878,Pimpri Road,18.627001,73.806396
1737,Pimpri Maha Nagarpalika,18.627111,73.804695
1050,Finolex Morwadi,18.630501,73.802002
1739,Empire Estate,18.633947,73.798889
1051,Chinchwad Station Brt,18.639467,73.794243
1052,Jayshree Talkies,18.641899,73.792198
1053,Kalbhor Nagar,18.6457,73.789001
1743,Akurdi Chowk,18.650801,73.784599
1744,Bajaj Auto,18.6534,73.782204
1056,Pradhikaran Corner,18.6584,73.778099
1746,Nigdi,18.660318,73.776161
5153,Bhakti Shakti Garden,18.664768,73.772018
5154,Puna Gate Parmar Complex,18.6681,73.768997
5155,Kohima Line,18.673445,73.764015
5156,B Sub Depot,18.6754,73.759399
6575,Kendriya Vidyalay Dehu Road,18.676888,73.752197
5158,Garden City,18.677919,73.746941
5159,Cisv Dehu Road,18.678259,73.744766
5160,Dehu Road Station,18.678631,73.74192
5142,Dehugaon Phata,18.679192,73.741768
5162,Ashok Nagar Dehu,18.6861,73.747704
5163,Chincholi,18.68984,73.749603
6560,Mahadev Mandir Paduka,18.693275,73.753113
5165,Tukaram Park,18.697701,73.756302
5166,Cod Depot,18.699699,73.759499
5167,Zendemala,18.702299,73.759903
5168,Radha Krishna Lawns,18.709299,73.760597
5169,Malwadi Dehu,18.7115,73.761002
5170,Krushnkunj Society,18.713499,73.763397
6553,Parndwal Chowk,18.714884,73.765335
5150,Dehugaon Gram Panchayat,18.7176,73.7677
